,name,cuisines,price_per_person,location,delivery_rating,delivery_reviews,dining_rating,dining_reviews
69,Dilliwala's,"North Indian, Chinese, Fast Food, Rolls, Sichuan",₹50 for one,"Rampur, Jabalpur",4.1,"6,476",-,0
70,New Nayab Biryani Center,North Indian,₹50 for one,"Civil Lines, Jabalpur",4.0,49,-,0
71,Hashtag Cakes,"Bakery, Desserts",₹50 for one,"Chandmari, Jabalpur",3.5,124,-,0
72,Hot Pot Chicken And Biryani Center,Biryani,₹50 for one,"Napier Town, Jabalpur",4.0,35,3.5,5
73,Hyderabadi Chicken Biryani,"Biryani, Mughlai",₹50 for one,"Napier Town, Jabalpur",4.0,34,-,2
74,Hotel Rishi Regency,"North Indian, Chinese, Fast Food, Sichuan",₹50 for one,"Napier Town, Jabalpur",3.9,"3,761",3.8,96
75,Hamza Chicken & Fish Point,"North Indian, Street Food",₹50 for one,"Cantt, Jabalpur",-,0,-,0
76,Momo Colling,"Momos, Chinese, Fast Food",₹50 for one,"Vijay Nagar, Jabalpur",3.7,841,3.9,114
77,Prayag Restaurant,"South Indian, Chinese, Sichuan",₹100 for one,"Adhartal, Jabalpur",4.2,555,3.7,56
78,Megh Restaurant,"North Indian, Mughlai, Chinese",₹100 for one,"Napier Town, Jabalpur",3.8,"1,976",3.4,22
79,Chaat Chatore,"South Indian, Chinese, North Indian, Street Food, Fast Food, Beverages",₹100 for one,"Hathital, Jabalpur",3.6,"9,367",3.9,120
80,Any Time Meals,"North Indian, Chinese",₹100 for one,"Cantt, Jabalpur",3.7,"2,598",3.7,103
81,Sheesha Sky Lounge,"North Indian, Mughlai, Kebab, Chinese, Biryani, Sichuan",₹100 for one,"Napier Town, Jabalpur",3.6,806,3.8,117
82,Rounak Bhel Puri,Street Food,₹100 for one,"Napier Town, Jabalpur",3.6,645,-,0
83,Parampara Veg Restaurant,"North Indian, Chinese, Fast Food, Shake",₹100 for one,"Napier Town, Jabalpur",3.7,669,3.4,41
84,Badkul Restaurant,"North Indian, Chinese, Fast Food, South Indian, Desserts, Beverages",₹100 for one,"Vijay Nagar, Jabalpur",3.9,39.7K,4.1,696
85,Agrawal Sweets,"Mithai, Desserts",₹100 for one,"Gohalpur, Jabalpur",4.2,500,-,0
86,Shawarma & Grill,Lebanese,₹100 for one,"Rampur, Jabalpur",4.3,698,-,0
87,"Indore Sweets, Namkeen & Bakery","Mithai, Street Food",₹100 for one,"Cantt, Jabalpur",4.2,811,-,0
88,Momo Colling Express,"Momos, Chinese, Sichuan",₹100 for one,"Napier Town, Jabalpur",3.6,415,3.8,68
89,Food Feast,Street Food,₹100 for one,"Lordganj, Jabalpur",-,1,-,0
90,Om Food Junction,"North Indian, Fast Food",₹100 for one,"Civil Lines, Jabalpur",-,2,-,0
91,Chai Shai Bar,Beverages,₹100 for one,"Napier Town, Jabalpur",3.3,132,3.0,3
92,ShreeJi Falahar Corner,Street Food,₹100 for one,"Vijay Nagar, Jabalpur",4.0,538,-,0
93,Chai Ka Punchnama,"Beverages, Street Food, Fast Food",₹100 for one,"Vijay Nagar, Jabalpur",3.3,176,3.7,27
94,Babu Chaurasiya Pan,Paan,₹100 for one,"Wright Town, Jabalpur",4.3,323,-,0
95,Shri Chinese Center,Chinese,₹100 for one,"Gohalpur, Jabalpur",4.1,257,2.5,8
96,Gupta Sweet Mart,"Mithai, Street Food",₹100 for one,"Cantt, Jabalpur",3.9,134,-,0
97,Dada Tiffin Service,North Indian,₹100 for one,"Civil Lines, Jabalpur",-,3,-,0
98,Thaali Express,North Indian,₹100 for one,"Gohalpur, Jabalpur",3.9,22,-,0
99,Cafe Magicana,Fast Food,₹100 for one,"Napier Town, Jabalpur",4.4,499,3.7,43
100,V Cafe & Restaurant,"Fast Food, Chinese, Pizza, Beverages",₹100 for one,"Wright Town, Jabalpur",4.0,23,-,0
101,Karnikaaza Party Room & Lounge ,"Fast Food, Chinese, Beverages",₹100 for one,"Lordganj, Jabalpur",-,0,-,0
102,Hira Cakes,Bakery,₹100 for one,"Napier Town, Jabalpur",4.3,291,-,0
103,Happiness,Desserts,₹100 for one,"Vijay Nagar, Jabalpur",-,0,-,0
104,Yaari Risto,"North Indian, Fast Food, Chinese",₹100 for one,"Wright Town, Jabalpur",3.7,578,3.4,21
105,Diet Guru,"Healthy Food, Beverages",₹100 for one,"Wright Town, Jabalpur",-,1,-,3
106,Spice Master,"North Indian, Biryani, Kebab",₹100 for one,"Hathital, Jabalpur",3.9,62,3.8,13
107,Kanha Fast Food Center,"North Indian, Chinese",₹100 for one,"Napier Town, Jabalpur",-,1,-,0
108,By Fa'Ar,"Biryani, Fast Food",₹100 for one,"Ganjipura, Jabalpur",-,0,-,0
109,Sai Momos Centre,"Momos, Fast Food, Street Food",₹100 for one,"Vijay Nagar, Jabalpur",3.6,111,-,1
110,Nawab - The Chaat House,"Fast Food, Beverages, Desserts, Street Food, Juices, Sandwich, Burger, Ice Cream",₹100 for one,"Napier Town, Jabalpur",3.3,172,3.9,47
111,Gabbar Da Dhaba,"North Indian, Chinese, Fast Food",₹100 for one,"Wright Town, Jabalpur",3.7,36,-,3
112,Zaika Restaurant,"North Indian, Kebab, Fast Food, Biryani, Beverages",₹100 for one,"Napier Town, Jabalpur",4.0,"2,061",3.4,81
113,The Belgian Waffle Co.,"Waffle, Pancake, Desserts, Beverages, Ice Cream",₹150 for one,"Ganjipura, Jabalpur",4.4,"3,083",4.4,202
114,Zaika Junction,"North Indian, Chinese, Mughlai, Fast Food",₹150 for one,"Napier Town, Jabalpur",3.8,990,3.7,38
115,The Champaran Kitchen,"North Indian, Mughlai, Chinese, Biryani",₹150 for one,"Napier Town, Jabalpur",3.7,595,3.4,4
116,Cozy The Sky Lounge,"North Indian, Chinese, Mughlai",₹150 for one,"Napier Town, Jabalpur",3.9,279,3.3,12
117,Cafe Conection,"Chinese, Fast Food, Street Food",₹150 for one,"COD Area, Jabalpur",3.5,18,-,0
118,Bindaas Chai Bar,"Fast Food, Momos, Beverages, Tea, Coffee, Shake",₹150 for one,"Wright Town, Jabalpur",4.0,7,3.1,0
119,Party Point,"South Indian, Chinese",₹150 for one,"Khamaria, Jabalpur",-,9,-,2
120,Peppers Restaurant,"North Indian, Street Food, Chinese, Beverages, South Indian",₹150 for one,"Napier Town, Jabalpur",-,3,-,3
121,Mumbai Masala,North Indian,₹150 for one,"Civil Lines, Jabalpur",-,1,-,0
